,State,Sorghum,Maize,Rice,Ginger,Yam,Ground nut,Millet,Cassava,Cowpea,Cotton,Cocoyam,Benniseed,Soyabean,Okro,Onion,Tomato
0,Abia,,9650,3240,,69960,840.0,0.0,177380.0,4640.0,0.0,14260.0,,,1850,,1420.0
1,Adamawa,39400.0,40620,6750,,93560,8900.0,2070.0,2320.0,9230.0,1520.0,7290.0,920.0,2170.0,870,7680.0,3040.0
2,Akwa Ibom,0.0,10490,190,,248630,320.0,0.0,144310.0,4480.0,0.0,26340.0,0.0,0.0,21470,0.0,0.0
3,Anambra,0.0,8940,12020,,89230,,0.0,167220.0,4500.0,0.0,16450.0,0.0,,1900,0.0,1170.0
4,Bauchi,37970.0,40690,8830,,0,46690.0,6620.0,1900.0,8120.0,6160.0,30.0,800.0,2430.0,820,8800.0,19390.0
5,Bayelsa,0.0,9880,12290,,14440,,0.0,148690.0,3600.0,0.0,14910.0,0.0,0.0,12140,0.0,0.0
6,Benue,19650.0,47860,39000,19.0,207620,21280.0,6570.0,372480.0,8400.0,0.0,4190.0,5900.0,19020.0,5630,4520.0,3230.0
7,Borno,47460.0,31020,14400,,0,20150.0,5920.0,,7620.0,3080.0,,129.0,,1960,2390.0,45240.0
8,Cross River,0.0,27990,11050,880.0,283550,1550.0,,499530.0,3810.0,0.0,29280.0,0.0,0.0,21460,,0.0
9,Delta,0.0,15920,2800,,108760,,,141180.0,,0.0,7160.0,0.0,0.0,22030,,2360.0
10,Ebony,0.0,10500,32640,,179990,170.0,,121710.0,4930.0,0.0,9550.0,1110.0,190.0,1520,,2100.0
11,Edo,0.0,17250,16530,,69860,740.0,,168220.0,190.0,0.0,11060.0,0.0,0.0,21380,,2040.0
12,Ekiti,,29910,11260,,139540,4530.0,,157450.0,6950.0,0.0,26830.0,270.0,910.0,1490,,2070.0
13,Enugu,0.0,14790,9530,,188660,390.0,,354360.0,4740.0,0.0,26150.0,800.0,170.0,1900,,1260.0
14,FCT,13350.0,15790,28730,,299830,2900.0,4070.0,44720.0,2100.0,0.0,900.0,5700.0,560.0,3470,,2080.0
15,Gombe,34970.0,40360,13610,,0,5180.0,7360.0,1420.0,8990.0,1540.0,0.0,830.0,2450.0,2540,9420.0,7530.0
16,Imo,0.0,17300,2910,,75700,20.0,0.0,349110.0,4500.0,0.0,14130.0,0.0,0.0,2690,0.0,1390.0
17,Jigawa,37480.0,27830,20950,,230,8770.0,9310.0,15610.0,7450.0,2960.0,0.0,0.0,3890.0,1530,3730.0,4480.0
18,Kaduna,48960.0,72970,32940,,189780,37610.0,9070.0,172570.0,6800.0,300.0,2480.0,2530.0,6830.0,1120,2080.0,7030.0
19,Kano,67940.0,38620,26820,,0,3350.0,9690.0,2690.0,6220.0,4450.0,0.0,0.0,6240.0,1130,9570.0,900.0
20,Katsina,35590.0,13370,14450,4200.0,0,11990.0,8790.0,13930.0,6070.0,,0.0,0.0,2410.0,50,5950.0,5060.0
21,Kebbi,38230.0,15240,18720,,1840,6070.0,8320.0,60750.0,5860.0,1190.0,0.0,0.0,590.0,4130,11000.0,6100.0
22,Kogi,19070.0,49820,53980,,179740,18280.0,3160.0,439710.0,9080.0,0.0,7530.0,5170.0,1630.0,7940,0.0,3690.0
23,Kwara,19750.0,50260,54870,,598200,13730.0,3750.0,139530.0,6700.0,0.0,5600.0,1900.0,3520.0,5340,0.0,1190.0
24,Lagos,0.0,19840,6150,,7950,460.0,0.0,190140.0,4550.0,0.0,4880.0,310.0,160.0,5250,130.0,3260.0
25,Nasarawa,11530.0,31210,31860,,298210,29850.0,2920.0,145140.0,6650.0,0.0,6580.0,5390.0,3210.0,2610,,2070.0
26,Niger,43040.0,62810,29450,190.0,284730,23260.0,10120.0,95410.0,7610.0,0.0,9280.0,1790.0,1770.0,210,,7960.0
27,Ogun,,42260,5120,530.0,148230,1830.0,,318990.0,3180.0,0.0,15690.0,,,2860,,8640.0
28,Ondo,,58680,15900,,132730,5890.0,,299160.0,5410.0,0.0,29750.0,640.0,2200.0,420,,530.0
29,Osun,,26710,6210,,79920,,,148830.0,3780.0,0.0,22450.0,0.0,,1380,,2870.0
30,Oyo,,21000,16960,,179970,1180.0,,160080.0,7100.0,0.0,4560.0,90.0,60.0,3800,,3050.0
31,Plateau,22050.0,60150,32540,,29950,12720.0,8040.0,71260.0,8500.0,,2340.0,5600.0,250.0,5050,1980.0,2760.0
32,Rivers,0.0,10990,13900,,109900,,0.0,114800.0,1700.0,0.0,8630.0,0.0,0.0,24450,0.0,
33,Sokoto,31590.0,12880,10330,,0,7030.0,7640.0,3400.0,8980.0,2330.0,0.0,0.0,960.0,2390,11620.0,28580.0
34,Taraba,35250.0,46360,32830,,350500,24560.0,9490.0,236640.0,7480.0,,0.0,3330.0,5760.0,4610,6220.0,4960.0
35,Yobe,20590.0,12150,9700,,0,6890.0,6600.0,2520.0,5490.0,2170.0,0.0,290.0,,900,3900.0,13210.0
36,Zamfara,50240.0,16950,13940,,990,14180.0,8980.0,,8380.0,4270.0,0.0,0.0,520.0,3590,9550.0,13690.0
